dates,1yr_fixed,3yr_fixed,5yr_fixed,10yr_fixed
2006-05-01,5.1,5.25,5.25,5.55
2006-06-01,5.1,5.25,5.25,5.55
2006-07-01,5.3,5.45,5.49,5.75
2006-08-01,5.25,5.45,5.44,5.8
2006-09-01,5.1,5.29,5.29,5.74
2006-10-01,4.98,5.2,5.13,5.52
2006-11-01,4.98,5.24,5.08,5.52
2007-01-01,4.88,5.14,4.9,5.52
2007-02-01,4.99,5.29,5.19,5.65
2007-03-01,4.99,5.19,5.04,5.55
2007-04-01,4.99,5.19,5.04,5.41
2007-05-01,5.49,5.69,5.64,5.99
2007-06-01,5.49,5.69,5.64,5.99
2007-07-01,5.49,5.69,5.79,6.09
2007-08-01,5.49,5.69,5.79,6.09
2007-09-01,5.49,5.69,5.69,6.09
2007-10-01,5.44,5.69,5.69,6.09
2007-11-01,5.49,5.69,5.88,6.09
2007-12-01,4.88,5.24,5.09,5.52
2008-01-01,5.65,6.09,5.89,6.24
2008-02-01,5.65,6.09,5.74,6.24
2008-03-01,5.2,5.39,5.35,6.14
2008-04-01,5.0,5.15,5.35,6.09
2008-05-01,4.9,5.15,5.18,5.99
2008-06-01,5.1,4.89,5.19,5.75
2008-07-01,5.1,5.29,5.24,5.75
2008-08-01,5.05,5.34,5.24,5.85
2008-09-01,4.7,5.18,5.14,5.49
2008-10-01,4.89,5.18,5.39,5.49
2008-11-01,4.35,5.34,5.39,6.39
2009-01-01,2.35,3.4,3.79,5.35
2009-02-01,4.29,5.12,5.19,6.39
2009-03-01,3.5,3.99,4.28,5.95
2009-04-01,3.0,3.99,3.85,5.24
2009-05-01,2.9,3.15,3.59,5.24
2009-06-01,2.9,3.15,3.84,5.24
2009-07-01,2.75,3.65,4.24,5.24
2009-08-01,2.75,3.59,4.14,5.24
2009-09-01,2.45,3.59,3.99,5.24
2009-10-01,2.4,3.39,3.84,5.4
2009-11-01,2.55,3.49,4.04,5.4
2009-12-01,2.35,3.4,3.79,5.35
2010-01-01,2.35,3.4,3.79,5.35
2010-02-01,2.19,3.29,3.69,5.35
2010-03-01,2.39,3.25,3.69,5.2
2010-04-01,2.99,3.94,4.24,4.99
2010-05-01,2.64,3.89,4.11,5.59
2010-06-01,2.64,3.75,4.29,5.59
2010-07-01,2.64,3.65,4.24,5.59
2010-08-01,2.54,3.44,3.87,5.49
2010-09-01,2.44,3.34,3.69,5.19
2010-10-01,2.44,3.24,3.49,5.19
2010-11-01,2.35,3.24,3.39,5.14
2011-01-01,2.54,3.4,3.7,5.1
2011-02-01,2.55,3.19,3.59,4.99
2011-03-01,2.5,3.34,3.64,4.99
2011-04-01,2.64,3.35,3.68,4.84
2011-05-01,2.64,3.29,3.61,4.84
2011-06-01,2.64,3.27,3.49,4.84
2011-07-01,2.64,3.27,3.29,4.81
2011-08-01,2.49,2.79,3.24,4.83
2011-09-01,2.49,2.79,3.22,4.64
2011-10-01,2.5,2.69,3.15,4.59
2011-11-01,2.69,2.88,3.16,4.59
2011-12-01,2.44,3.24,3.44,5.1
2012-01-01,2.59,2.79,2.99,3.79
